2026-04-30 22:41:39,354 [INFO] ============================================================
2026-04-30 22:41:39,355 [INFO]   モメンタム銘柄選定 開始: 2026-04-30 22:41:39
2026-04-30 22:41:39,356 [INFO] ============================================================
2026-04-30 22:41:39,356 [INFO] 
[STEP 1] S&P 500 構成銘柄取得
2026-04-30 22:41:39,356 [INFO] S&P 500 構成銘柄をWikipediaから取得中...
2026-04-30 22:41:40,429 [INFO] 503 銘柄のユニバースを取得しました
2026-04-30 22:41:40,430 [INFO] 
[STEP 2] 価格キャッシュ更新 & 騰落率計算
2026-04-30 22:41:40,431 [INFO] 価格キャッシュを更新中...
2026-04-30 22:41:40,864 [INFO] キャッシュ更新: 継続=503, 新規=0, 削除=0
2026-04-30 22:41:40,866 [INFO] キャッシュ更新完了 → cache\prices.parquet
2026-04-30 22:41:41,617 [INFO] 騰落率計算完了: 502 銘柄
2026-04-30 22:41:41,618 [INFO] 
[STEP 3] 銘柄選定
2026-04-30 22:41:41,618 [INFO] 流動性フィルター: 502 銘柄 → 502 銘柄 （除外: 0 銘柄, 基準: ADDV >= $5,000,000）
2026-04-30 22:41:41,619 [INFO]   [3M] US.INTC        騰落率: +114.8%  ADDV: $9351M
2026-04-30 22:41:41,620 [INFO]   [3M] US.DELL        騰落率: +68.7%  ADDV: $1206M
2026-04-30 22:41:41,620 [INFO]   [3M] US.AMD         騰落率: +68.4%  ADDV: $11159M
2026-04-30 22:41:41,620 [INFO]   [3M] US.SNDK        騰落率: +63.7%  ADDV: $13647M
2026-04-30 22:41:41,621 [INFO]   [3M] US.STX         騰落率: +56.8%  ADDV: $2139M
2026-04-30 22:41:41,622 [INFO]   [6M] US.LITE        騰落率: +131.1%  ADDV: $4866M
2026-04-30 22:41:41,622 [INFO]   [6M] US.WDC         騰落率: +128.1%  ADDV: $2532M
2026-04-30 22:41:41,622 [INFO]   [6M] US.CIEN        騰落率: +106.4%  ADDV: $1217M
2026-04-30 22:41:41,623 [INFO]   [6M] US.MU          騰落率: +95.1%  ADDV: $18392M
2026-04-30 22:41:41,623 [INFO]   [6M] US.VRT         騰落率: +91.6%  ADDV: $1630M
2026-04-30 22:41:41,625 [INFO]   [12M] US.SATS        騰落率: +329.9%  ADDV: $732M
2026-04-30 22:41:41,626 [INFO]   [12M] US.COHR        騰落率: +226.5%  ADDV: $1731M
2026-04-30 22:41:41,626 [INFO]   [12M] US.TER         騰落率: +180.6%  ADDV: $1203M
2026-04-30 22:41:41,626 [INFO]   [12M] US.FIX         騰落率: +153.5%  ADDV: $634M
2026-04-30 22:41:41,626 [INFO]   [12M] US.LRCX        騰落率: +151.2%  ADDV: $2297M
